Course , Chapter                    , Description                          , Release # ,Release Date
1, N/A , Updated entire course to Python 3.6,v2.1.0,02/27/2017
2, N/A, Fixed typos in a number of chapters,v2.1.0,02/27/2017
2, N/A, Optimized the format for eBook devices,v2.0.0,12/23/2016
2, N/A, Added time to complete estimates,v2.0.0,12/23/2016
2, N/A , Updated entire course to Python 3.5.1,v2.0.0,12/23/2016
1, OOP, Added external resources, v2.0.0,12/23/2016
1, N/A, Fixed typos in a number of chapters,v2.0.0,12/23/2016
1, N/A, Added time to complete estimates,v2.0.0,12/23/2016
1, N/A, Optimized the format for eBook devices,v1.1.0,02/06/2016
1, N/A , Updated entire course to Python 3.5.1; added MechanicalSoup to the scraping chapter ,v1.1.0,02/06/2016
2, Scraping & Crawling , Updated to latest version of Scrapy                   ,v1.0.2,12/21/2015
2, Django: Blog App , Converted some relative imports to absolute              ,v1.0.2,12/21/2015
2, API ," Removed Rotten Tomatoes, added My API Films              ",v1.0.2,12/21/2015
2, N/A                  , Fixed typos in a number of chapters                  , v1.0.1       ,09/07/2015
2, Django: Quickstart   , Updated for Django 1.8                               , v1.0.1       ,09/07/2015
2, Django: Blog App     , Updated for Django 1.8                               , v1.0.1       ,09/07/2015
2, Bloggy Redux: Blongo , Updated for Django 1.8                               , v1.0.1       ,09/07/2015
2, N/A                  , Fixed typos in a number of chapters                  , v1           ,06/12/2015
3, REST                    , Updated to DRF 3                                    , v1           ,06/12/2015
3, N/A                     , New chapter: Deploy                                 , v1           ,06/12/2015
2, N/A                  , Updated to Django v1.8                               , Beta v9      ,05/26/2015
3, N/A                     , Updated to Django v1.8                              , Beta v9      ,05/26/2015
1, OOP                        , Added new assignment                 , Beta v8   ,04/27/2015
2, FlaskTaskr           , Updated typos                                        , Beta v8      ,04/27/2015
2, Scraping & Crawling  , Updated Wikipedia Crawler                            , Beta v8      ,04/27/2015
3, N/A                     ," New chapter: Testing, Testing, and More Testing     ", Beta v8      ,04/27/2015
1, Web applications           , Corrected a small typo               , Beta v7   ,03/29/2015
1, SQL database connections   , Corrected a small typo               , Beta v7   ,03/29/2015
2, Debugging in Python  ," Fixed typos, addressed pep8 issues                   ", Beta v7      ,03/29/2015
